step,steer,drift,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,q_w,q_x,q_y,q_z,drift_input,slip,trigger,trigger_timer,linger_timer
108,1,0,0.0858962685,-10.5146399,0.00192003977,1.43622601,-18.3776646,0.0612096041,1.4786861e-11,-0.649708033,1.62115419,0.989130735,0.00121195137,-0.0352173708,0.142820522,0,0,0,0,0
109,1,0,0.0936646163,-10.6062975,0.00226919493,1.55366945,-18.3315086,0.069831036,1.75440322e-11,-0.663379252,1.62292683,0.988483429,0.00130591146,-0.0368623585,0.146830335,0,0,0,0,0
110,1,0,0.102021679,-10.6977186,0.00266370084,1.67141318,-18.2842312,0.0789011866,2.2024358e-11,-0.677112341,1.62429762,0.98781532,0.00140476099,-0.0385405831,0.15084067,0,0,0,0,0
111,1,0,0.110968791,-10.7888975,0.00310585392,1.78942239,-18.2358322,0.0884306356,2.53728028e-11,-0.690904438,1.62529576,0.987126291,0.00150868786,-0.0402521156,0.154850453,0,0,0,0,0
112,1,0,0.120507099,-10.8798294,0.00359800295,1.90766191,-18.1863098,0.0984298214,2.29727348e-11,-0.704752803,1.62594819,0.98641634,0.00161788089,-0.0419970527,0.158858836,0,0,0,0,0
113,1,0,0.130637586,-10.9705076,0.00414254796,2.02609611,-18.1356659,0.108909033,2.38224926e-11,-0.718654513,1.62627983,0.985685289,0.00173252821,-0.0437754393,0.162864819,0,0,0,0,0
114,1,0,0.141361028,-11.0609274,0.00474193972,2.14468884,-18.0839005,0.119878404,2.43950051e-11,-0.732606649,1.62631392,0.984933257,0.00185281842,-0.0455873385,0.166867599,0,0,0,0,0
115,1,0,0.152678043,-11.151082,0.00539867906,2.26340413,-18.0310173,0.13134788,2.0421085e-11,-0.74660629,1.62607181,0.984160006,0.0019789394,-0.0474327989,0.170866385,0,0,0,0,0
116,1,0,0.164589062,-11.2409668,0.00611531548,2.38220525,-17.9770184,0.143327236,2.14523555e-11,-0.760650396,1.6255734,0.983365595,0.00211107824,-0.0493118539,0.174860418,0,0,0,0,0
117,1,0,0.17709434,-11.3305759,0.00689444551,2.50105596,-17.9219074,0.155826047,2.20323829e-11,-0.774736047,1.62483692,0.982549906,0.00224942295,-0.0512245446,0.178849071,0,0,0,0,0
